Epoch=1 MAP5=0.11910288173164689 BestThreshold=0 TrainLoss=15.430719472777168
Epoch=2 MAP5=0.3383231190507237 BestThreshold=0.8 TrainLoss=13.082899280764021
Epoch=3 MAP5=0.49795279697483374 BestThreshold=0.8 TrainLoss=10.76086232887124
Epoch=4 MAP5=0.5869083322467076 BestThreshold=0.8 TrainLoss=8.876763869231603
Epoch=5 MAP5=0.673725387925414 BestThreshold=0.8 TrainLoss=7.438276870295686
Epoch=6 MAP5=0.6930499413222063 BestThreshold=0.8 TrainLoss=6.2487502367991326
Epoch=7 MAP5=0.7007954100925805 BestThreshold=0.7 TrainLoss=5.3000183933186085
Epoch=8 MAP5=0.7317512061546485 BestThreshold=0.7 TrainLoss=4.482400787101602
Epoch=9 MAP5=0.7533446342417526 BestThreshold=0.7 TrainLoss=3.8315597516185833
Epoch=10 MAP5=0.7543877950189073 BestThreshold=0.7 TrainLoss=3.3312791797350036
Epoch=11 MAP5=0.7593428087103926 BestThreshold=0.7 TrainLoss=2.9369719793211737
Epoch=12 MAP5=0.7622897379058547 BestThreshold=0.7 TrainLoss=2.6754350365332837
Epoch=13 MAP5=0.7590820185161038 BestThreshold=0.7 TrainLoss=2.4928372041234432
Epoch=14 MAP5=0.7606467596818359 BestThreshold=0.7 TrainLoss=2.3800857287532877
Epoch=15 MAP5=0.7605424436041205 BestThreshold=0.7 TrainLoss=2.337500724252665
